NIST Control (source),NIST Catalog,NIST Release,Relationship,Equivalence,KSI ID,KSI Name,KSI Family,KSI Family Name
IA-5.2,NIST SP 800-53 Rev. 5,5.2.0,fedramp_declared_related_control,false,KSI-SVC-ASM,Automating Secret Management,SVC,Service Configuration
IA-5.6,NIST SP 800-53 Rev. 5,5.2.0,fedramp_declared_related_control,false,KSI-IAM-APM,Adopting Passwordless Methods,IAM,Identity and Access Management
IA-5.6,NIST SP 800-53 Rev. 5,5.2.0,fedramp_declared_related_control,false,KSI-IAM-ELP,Ensuring Least Privilege,IAM,Identity and Access Management
IA-5.6,NIST SP 800-53 Rev. 5,5.2.0,fedramp_declared_related_control,false,KSI-SVC-ASM,Automating Secret Management,SVC,Service Configuration
IA-6,NIST SP 800-53 Rev. 5,5.2.0,fedramp_declared_related_control,false,KSI-IAM-APM,Adopting Passwordless Methods,IAM,Identity and Access Management
IA-7,NIST SP 800-53 Rev. 5,5.2.0,fedramp_declared_related_control,false,KSI-IAM-JIT,Authorizing Just-in-Time,IAM,Identity and Access Management
IA-8,NIST SP 800-53 Rev. 5,5.2.0,fedramp_declared_related_control,false,KSI-IAM-APM,Adopting Passwordless Methods,IAM,Identity and Access Management
IA-11,NIST SP 800-53 Rev. 5,5.2.0,fedramp_declared_related_control,false,KSI-IAM-ELP,Ensuring Least Privilege,IAM,Identity and Access Management
IA-12,NIST SP 800-53 Rev. 5,5.2.0,fedramp_declared_related_control,false,KSI-IAM-AAM,Automating Account Management,IAM,Identity and Access Management
IA-12.2,NIST SP 800-53 Rev. 5,5.2.0,fedramp_declared_related_control,false,KSI-IAM-AAM,Automating Account Management,IAM,Identity and Access Management
IA-12.3,NIST SP 800-53 Rev. 5,5.2.0,fedramp_declared_related_control,false,KSI-IAM-AAM,Automating Account Management,IAM,Identity and Access Management
IA-12.5,NIST SP 800-53 Rev. 5,5.2.0,fedramp_declared_related_control,false,KSI-IAM-AAM,Automating Account Management,IAM,Identity and Access Management
IR-2,NIST SP 800-53 Rev. 5,5.2.0,fedramp_declared_related_control,false,KSI-CED-RAT,Reviewing All Training,CED,Cybersecurity Education
IR-2.3,NIST SP 800-53 Rev. 5,5.2.0,fedramp_declared_related_control,false,KSI-CED-RAT,Reviewing All Training,CED,Cybersecurity Education
IR-3,NIST SP 800-53 Rev. 5,5.2.0,fedramp_declared_related_control,false,KSI-INR-AAR,Generating After Action Reports,INR,Incident Response
IR-3,NIST SP 800-53 Rev. 5,5.2.0,fedramp_declared_related_control,false,KSI-INR-RPI,Reviewing Past Incidents,INR,Incident Response
IR-3,NIST SP 800-53 Rev. 5,5.2.0,fedramp_declared_related_control,false,KSI-RPL-TRC,Testing Recovery Capabilities,RPL,Recovery Planning
IR-3.2,NIST SP 800-53 Rev. 5,5.2.0,fedramp_declared_related_control,false,KSI-PIY-RIS,Reviewing Investments in Security,PIY,Policy and Inventory
IR-3.2,NIST SP 800-53 Rev. 5,5.2.0,fedramp_declared_related_control,false,KSI-RPL-TRC,Testing Recovery Capabilities,RPL,Recovery Planning
IR-4,NIST SP 800-53 Rev. 5,5.2.0,fedramp_declared_related_control,false,KSI-INR-AAR,Generating After Action Reports,INR,Incident Response
IR-4,NIST SP 800-53 Rev. 5,5.2.0,fedramp_declared_related_control,false,KSI-INR-RIR,Reviewing Incident Response Procedures,INR,Incident Response
IR-4,NIST SP 800-53 Rev. 5,5.2.0,fedramp_declared_related_control,false,KSI-INR-RPI,Reviewing Past Incidents,INR,Incident Response
IR-4.1,NIST SP 800-53 Rev. 5,5.2.0,fedramp_declared_related_control,false,KSI-INR-AAR,Generating After Action Reports,INR,Incident Response
IR-4.1,NIST SP 800-53 Rev. 5,5.2.0,fedramp_declared_related_control,false,KSI-INR-RIR,Reviewing Incident Response Procedures,INR,Incident Response
IR-4.1,NIST SP 800-53 Rev. 5,5.2.0,fedramp_declared_related_control,false,KSI-INR-RPI,Reviewing Past Incidents,INR,Incident Response
IR-4.1,NIST SP 800-53 Rev. 5,5.2.0,fedramp_declared_related_control,false,KSI-MLA-OSM,Operating SIEM Capability,MLA,"Monitoring, Logging, and Auditing"
IR-5,NIST SP 800-53 Rev. 5,5.2.0,fedramp_declared_related_control,false,KSI-INR-RPI,Reviewing Past Incidents,INR,Incident Response
IR-6,NIST SP 800-53 Rev. 5,5.2.0,fedramp_declared_related_control,false,KSI-INR-RIR,Reviewing Incident Response Procedures,INR,Incident Response
